questionId,trainingId,sopCode,questionNo,question_type,cognitive_level,prompt,optionA,optionB,optionC,optionD,correct_option,rationale,tags
HIS-TRN-TA-001-Q04,HIS-TRN-TA-001,HIS-SOP-TA-001,4,scenario_single_choice,scenario_application,"Scenario: A job is urgent, but pay range and submission deadline are missing. What is the best response?",Escalate to the AM/manager and complete the missing intake fields before launching large-scale sourcing.,Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,Move forward quickly and document the exception only if a problem occurs.,A,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-TA-001-Q05,HIS-TRN-TA-001,HIS-SOP-TA-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-001?,Using the approved system to make handoffs visible to managers and teammates.,Believing every completed record should also have a clear owner and due date.,Treating the intake and kickoff record as optional when the team is busy or the role is urgent.,Escalating blockers early when required information or approval is missing.,C,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-TA-001-Q06,HIS-TRN-TA-001,HIS-SOP-TA-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-001?,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,Account Manager/Delivery Manager owns intake completeness; Recruiter confirms understanding before sourcing.,D,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-TA-001-Q07,HIS-TRN-TA-001,HIS-SOP-TA-001,7,scenario_single_choice,scenario_application,Scenario: The client lowers the bill rate after recruiters have already started outreach. What should happen next?,Continue using the old information because changing records mid-process creates extra work.,"Update the requisition, revalidate pay alignment, notify affected recruiters, and reassess candidate pipeline viability.",Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,B,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-TA-001-Q08,HIS-TRN-TA-001,HIS-SOP-TA-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-001 is working after rollout?,90%+ requisitions have complete intake before sourcing starts.,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",A,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-TA-002-Q01,HIS-TRN-TA-002,HIS-SOP-TA-002,1,single_choice,understanding,"For HIS-SOP-TA-002 (sourcing and ownership), what is the primary business reason the SOP exists?","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To provide optional reference guidance for sourcing and ownership that teams may adapt without approval.,"Controls sourcing quality, respectful outreach, duplicate prevention, candidate ownership, and submission consent/RTR.",To let managers bypass formal records when urgency is high and document later.,C,"The SOP exists to support the specific business outcome described for sourcing and ownership, not to create optional paperwork.",purpose;business_value
HIS-TRN-TA-002-Q02,HIS-TRN-TA-002,HIS-SOP-TA-002,2,single_choice,application,"Before contacting and owning candidates is treated as ready under HIS-SOP-TA-002, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.","Duplicate search, source, outreach notes, interest confirmation, ownership, consent/RTR, and follow-up must be documented before submission.",Use the most recent email or chat thread as the only working standard.,C,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-TA-002-Q03,HIS-TRN-TA-002,HIS-SOP-TA-002,3,single_choice,application,Which record best proves HIS-SOP-TA-002 was followed for contacting and owning candidates?,"A generic completion message that does not include evidence, owner, or next step.",A verbal update in the daily standup with no system entry.,"Candidate profile with duplicate check, source, outreach history, interest, consent/RTR status, and owner.",A personal note or spreadsheet maintained by one team member only.,C,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-TA-002-Q04,HIS-TRN-TA-002,HIS-SOP-TA-002,4,scenario_single_choice,scenario_application,Scenario: Two recruiters contact the same candidate for the same client role and both claim ownership. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Treat the issue as resolved if a verbal confirmation was received.,Check Ceipal history and escalate to the lead/manager to resolve ownership based on documented valid engagement.,Ask the team to handle it informally because the situation is time-sensitive.,C,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-TA-002-Q05,HIS-TRN-TA-002,HIS-SOP-TA-002,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-002?,Believing every completed record should also have a clear owner and due date.,Treating the candidate ownership and consent record as optional when the team is busy or the role is urgent.,Escalating blockers early when required information or approval is missing.,Using the approved system to make handoffs visible to managers and teammates.,B,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-TA-002-Q06,HIS-TRN-TA-002,HIS-SOP-TA-002,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-002?,No assigned owner is needed if the team discusses it in a meeting.,Recruiter owns accurate candidate record; Lead resolves ownership disputes.,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",B,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-TA-002-Q07,HIS-TRN-TA-002,HIS-SOP-TA-002,7,scenario_single_choice,scenario_application,Scenario: A candidate says “send me details” but has not confirmed interest or submission consent. What should happen next?,Let the person who discovered the issue decide without involving the required owner or workflow.,Keep the issue in a private note until the final outcome is known.,Continue using the old information because changing records mid-process creates extra work.,"Do not submit; send clear details, confirm interest and consent/RTR where required, then document it.",D,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-TA-002-Q08,HIS-TRN-TA-002,HIS-SOP-TA-002,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-002 is working after rollout?,"The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",Duplicate records controlled and 100% consent/RTR captured where required.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",C,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-TA-003-Q01,HIS-TRN-TA-003,HIS-SOP-TA-003,1,single_choice,understanding,"For HIS-SOP-TA-003 (screening and submission QC), what is the primary business reason the SOP exists?","Raises submission quality by requiring qualification, screening notes, evidence, and manager/QC checks before client submission.",To provide optional reference guidance for screening and submission QC that teams may adapt without approval.,To let managers bypass formal records when urgency is high and document later.,"To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",A,"The SOP exists to support the specific business outcome described for screening and submission QC, not to create optional paperwork.",purpose;business_value
HIS-TRN-TA-003-Q02,HIS-TRN-TA-003,HIS-SOP-TA-003,2,single_choice,application,"Before submitting a candidate is treated as ready under HIS-SOP-TA-003, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Must-have match, interest, pay/rate, availability, resume, screening notes, documents, and QC approval must be verified before submission.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,B,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-TA-003-Q03,HIS-TRN-TA-003,HIS-SOP-TA-003,3,single_choice,application,Which record best proves HIS-SOP-TA-003 was followed for submitting a candidate?,A personal note or spreadsheet maintained by one team member only.,"Screening notes, submission checklist, QC result, missing document status, and submission timestamp.","A generic completion message that does not include evidence, owner, or next step.",A verbal update in the daily standup with no system entry.,B,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-TA-003-Q04,HIS-TRN-TA-003,HIS-SOP-TA-003,4,scenario_single_choice,scenario_application,Scenario: A candidate looks strong but has not confirmed shift availability and pay alignment. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Treat the issue as resolved if a verbal confirmation was received.,Hold submission until availability and pay alignment are confirmed and documented.,Ask the team to handle it informally because the situation is time-sensitive.,C,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-TA-003-Q05,HIS-TRN-TA-003,HIS-SOP-TA-003,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-003?,Treating the submission QC checklist as optional when the team is busy or the role is urgent.,Believing every completed record should also have a clear owner and due date.,Escalating blockers early when required information or approval is missing.,Using the approved system to make handoffs visible to managers and teammates.,A,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-TA-003-Q06,HIS-TRN-TA-003,HIS-SOP-TA-003,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-003?,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",No assigned owner is needed if the team discusses it in a meeting.,Recruiter prepares; Lead/Manager performs QC when required before client/VMS submission.,D,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-TA-003-Q07,HIS-TRN-TA-003,HIS-SOP-TA-003,7,scenario_single_choice,scenario_application,Scenario: A recruiter has a qualified profile but no structured screening notes in Ceipal. What should happen next?,Keep the issue in a private note until the final outcome is known.,Add role-specific screening evidence before marking the candidate ready for submission.,Continue using the old information because changing records mid-process creates extra work.,Let the person who discovered the issue decide without involving the required owner or workflow.,B,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-TA-003-Q08,HIS-TRN-TA-003,HIS-SOP-TA-003,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-003 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",95%+ submission QC pass rate and reduced client rework.,D,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-TA-004-Q01,HIS-TRN-TA-004,HIS-SOP-TA-004,1,single_choice,understanding,"For HIS-SOP-TA-004 (interview-offer-start follow-through), what is the primary business reason the SOP exists?","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.","Protects conversion after submission by ensuring interviews, offers, starts, and post-start check-ins are actively managed.",To provide optional reference guidance for interview-offer-start follow-through that teams may adapt without approval.,To let managers bypass formal records when urgency is high and document later.,B,"The SOP exists to support the specific business outcome described for interview-offer-start follow-through, not to create optional paperwork.",purpose;business_value
HIS-TRN-TA-004-Q02,HIS-TRN-TA-004,HIS-SOP-TA-004,2,single_choice,application,"Before managing post-submission progress is treated as ready under HIS-SOP-TA-004, which control is required?","Interview details, candidate prep, feedback, offer terms, start confirmation, and post-start check-ins must be actively tracked.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-TA-004-Q03,HIS-TRN-TA-004,HIS-SOP-TA-004,3,single_choice,application,Which record best proves HIS-SOP-TA-004 was followed for managing post-submission progress?,"Interview schedule, prep confirmation, feedback, offer terms, start date, no-show/dropout reason, and post-start check-in notes.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.",A,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-TA-004-Q04,HIS-TRN-TA-004,HIS-SOP-TA-004,4,scenario_single_choice,scenario_application,Scenario: A client sends interview availability but the candidate has not confirmed the time. What is the best response?,"Confirm candidate availability, send clear prep details, update Ceipal, and close the loop with the client/AM.",Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,Move forward quickly and document the exception only if a problem occurs.,A,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-TA-004-Q05,HIS-TRN-TA-004,HIS-SOP-TA-004,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-004?,Escalating blockers early when required information or approval is missing.,Treating the interview/offer/start follow-through log as optional when the team is busy or the role is urgent.,Believing every completed record should also have a clear owner and due date.,Using the approved system to make handoffs visible to managers and teammates.,B,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-TA-004-Q06,HIS-TRN-TA-004,HIS-SOP-TA-004,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-004?,Recruiter coordinates candidate; AM/Manager manages client feedback and escalation.,"Only the newest team member working the task, because they are closest to the work.",No assigned owner is needed if the team discusses it in a meeting.,Any person can close it without review if the outcome looks positive.,A,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-TA-004-Q07,HIS-TRN-TA-004,HIS-SOP-TA-004,7,scenario_single_choice,scenario_application,Scenario: A candidate accepts verbally but has concerns about start date paperwork. What should happen next?,Keep the issue in a private note until the final outcome is known.,"Document the concern, coordinate onboarding/support, confirm final terms in writing, and track start readiness.",Let the person who discovered the issue decide without involving the required owner or workflow.,Continue using the old information because changing records mid-process creates extra work.,B,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-TA-004-Q08,HIS-TRN-TA-004,HIS-SOP-TA-004,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-004 is working after rollout?,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",Improved interview-to-offer and offer-to-start conversion with fewer missed updates.,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",C,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-HC-001-Q01,HIS-TRN-HC-001,HIS-SOP-HC-001,1,single_choice,understanding,"For HIS-SOP-HC-001 (healthcare credential readiness), what is the primary business reason the SOP exists?",To provide optional reference guidance for healthcare credential readiness that teams may adapt without approval.,To let managers bypass formal records when urgency is high and document later.,"To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.","Ensures healthcare candidates are credential-aware and packet-ready for roles requiring licenses, certifications, IDs, skills checklists, and program documents.",D,"The SOP exists to support the specific business outcome described for healthcare credential readiness, not to create optional paperwork.",purpose;business_value
HIS-TRN-HC-001-Q02,HIS-TRN-HC-001,HIS-SOP-HC-001,2,single_choice,application,"Before preparing a healthcare submission packet is treated as ready under HIS-SOP-HC-001, which control is required?","Role-specific licenses, certifications, IDs, skills checklist, expiration dates, and secure document status must be verified before packet submission.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,"Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-HC-001-Q03,HIS-TRN-HC-001,HIS-SOP-HC-001,3,single_choice,application,Which record best proves HIS-SOP-HC-001 was followed for preparing a healthcare submission packet?,"A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,"Credential checklist, expiration dates, document status, ProKred/packet progress, missing items, and compliance notes.",A verbal update in the daily standup with no system entry.,C,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-HC-001-Q04,HIS-TRN-HC-001,HIS-SOP-HC-001,4,scenario_single_choice,scenario_application,Scenario: An RN candidate has a resume and license number but BLS expiration is unclear. What is the best response?,Treat the issue as resolved if a verbal confirmation was received.,Move forward quickly and document the exception only if a problem occurs.,Ask the team to handle it informally because the situation is time-sensitive.,Request/verify BLS details through the approved secure workflow and mark packet status pending until resolved.,D,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-HC-001-Q05,HIS-TRN-HC-001,HIS-SOP-HC-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-HC-001?,Believing every completed record should also have a clear owner and due date.,Escalating blockers early when required information or approval is missing.,Treating the credential packet readiness record as optional when the team is busy or the role is urgent.,Using the approved system to make handoffs visible to managers and teammates.,C,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-HC-001-Q06,HIS-TRN-HC-001,HIS-SOP-HC-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-HC-001?,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,Healthcare recruiter gathers; compliance/lead reviews packet completeness for applicable roles.,D,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-HC-001-Q07,HIS-TRN-HC-001,HIS-SOP-HC-001,7,scenario_single_choice,scenario_application,Scenario: A candidate sends IDs and certifications through an unsafe personal channel. What should happen next?,Let the person who discovered the issue decide without involving the required owner or workflow.,Move the process to the approved secure collection channel and avoid storing or forwarding documents casually.,Keep the issue in a private note until the final outcome is known.,Continue using the old information because changing records mid-process creates extra work.,B,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-HC-001-Q08,HIS-TRN-HC-001,HIS-SOP-HC-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-HC-001 is working after rollout?,95%+ healthcare credential packet completeness for applicable submissions.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",A,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
