questionId,trainingId,sopCode,questionNo,question_type,cognitive_level,prompt,optionA,optionB,optionC,optionD,correct_option,correct_answer_text,rationale,tags,auto_gradable,requires_human_review,points
HIS-TRN-REQ-001-Q08,HIS-TRN-REQ-001,HIS-SOP-REQ-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-REQ-001 is working after rollout?,90%+ intake completeness and fewer blind-sourcing escalations after Wave 1.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",A,90%+ intake completeness and fewer blind-sourcing escalations after Wave 1.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-TA-001-Q01,HIS-TRN-TA-001,HIS-SOP-TA-001,1,single_choice,understanding,"For HIS-SOP-TA-001 (requisition intake), what is the primary business reason the SOP exists?",To move faster by letting urgent roles bypass intake and rate alignment until candidates are found.,To let recruiters rely on verbal intake notes instead of an approved job record.,"Ensures every recruiter starts with aligned role, rate, pay, margin, urgency, target profile, and submission expectations.","To assume pay, bill rate, and margin issues can be corrected after the first submission.",C,"Ensures every recruiter starts with aligned role, rate, pay, margin, urgency, target profile, and submission expectations.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-TA-001-Q02,HIS-TRN-TA-001,HIS-SOP-TA-001,2,single_choice,application,"Before opening a requisition for delivery is treated as ready under HIS-SOP-TA-001, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",Use the most recent email or chat thread as the only working standard.,"Proceed if the candidate/client seems urgent, even if required records are not complete.","Role details, rate/pay guidance, priority, assigned recruiters, submission format, and kickoff notes must be complete before delivery starts.",D,"Role details, rate/pay guidance, priority, assigned recruiters, submission format, and kickoff notes must be complete before delivery starts.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-TA-001-Q03,HIS-TRN-TA-001,HIS-SOP-TA-001,3,single_choice,application,Which record best proves HIS-SOP-TA-001 was followed for opening a requisition for delivery?,"Ceipal/job record with requirement details, rate/pay guidance, priority, assignment, kickoff notes, and blockers.",A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,A,"Ceipal/job record with requirement details, rate/pay guidance, priority, assignment, kickoff notes, and blockers.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-TA-001-Q04,HIS-TRN-TA-001,HIS-SOP-TA-001,4,scenario_single_choice,scenario_application,"Scenario: A job is urgent, but pay range and submission deadline are missing. What is the best response?",Move forward quickly and document the exception only if a problem occurs.,Escalate to the AM/manager and complete the missing intake fields before launching large-scale sourcing.,Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,B,Escalate to the AM/manager and complete the missing intake fields before launching large-scale sourcing.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-TA-001-Q05,HIS-TRN-TA-001,HIS-SOP-TA-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-001?,"Accepting a role for sourcing before confirming pay range, location, and must-have requirements.",Treating rate exceptions as manager preference instead of a documented approval item.,"Starting sourcing before intake, rate, pay, margin, must-haves, and kickoff ownership are complete in the approved system.",Using the kickoff call as the only record without updating the ATS or approved intake fields.,C,"Starting sourcing before intake, rate, pay, margin, must-haves, and kickoff ownership are complete in the approved system.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-TA-001-Q06,HIS-TRN-TA-001,HIS-SOP-TA-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-001?,Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Account Manager/Delivery Manager owns intake completeness; Recruiter confirms understanding before sourcing.,D,Account Manager/Delivery Manager owns intake completeness; Recruiter confirms understanding before sourcing.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-TA-001-Q07,HIS-TRN-TA-001,HIS-SOP-TA-001,7,scenario_single_choice,scenario_application,Scenario: The client lowers the bill rate after recruiters have already started outreach. What should happen next?,"Update the requisition, revalidate pay alignment, notify affected recruiters, and reassess candidate pipeline viability.",Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,A,"Update the requisition, revalidate pay alignment, notify affected recruiters, and reassess candidate pipeline viability.","The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-TA-001-Q08,HIS-TRN-TA-001,HIS-SOP-TA-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-001 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",90%+ requisitions have complete intake before sourcing starts.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",B,90%+ requisitions have complete intake before sourcing starts.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-TA-002-Q01,HIS-TRN-TA-002,HIS-SOP-TA-002,1,single_choice,understanding,"For HIS-SOP-TA-002 (sourcing and ownership), what is the primary business reason the SOP exists?","To maximize outreach volume even if candidate ownership, duplicate checks, and consent are unclear.",To create a new candidate record when ownership is disputed so the recruiter can move faster.,To treat a candidate’s casual interest as consent for submission without documenting the role fit.,"Controls sourcing quality, respectful outreach, duplicate prevention, candidate ownership, and submission consent/RTR.",D,"Controls sourcing quality, respectful outreach, duplicate prevention, candidate ownership, and submission consent/RTR.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-TA-002-Q02,HIS-TRN-TA-002,HIS-SOP-TA-002,2,single_choice,application,"Before contacting and owning candidates is treated as ready under HIS-SOP-TA-002, which control is required?","Duplicate search, source, outreach notes, interest confirmation, ownership, consent/RTR, and follow-up must be documented before submission.",Use the most recent email or chat thread as the only working standard.,"Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",A,"Duplicate search, source, outreach notes, interest confirmation, ownership, consent/RTR, and follow-up must be documented before submission.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-TA-002-Q03,HIS-TRN-TA-002,HIS-SOP-TA-002,3,single_choice,application,Which record best proves HIS-SOP-TA-002 was followed for contacting and owning candidates?,A personal note or spreadsheet maintained by one team member only.,"Candidate profile with duplicate check, source, outreach history, interest, consent/RTR status, and owner.","A generic completion message that does not include evidence, owner, or next step.",A verbal update in the daily standup with no system entry.,B,"Candidate profile with duplicate check, source, outreach history, interest, consent/RTR status, and owner.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-TA-002-Q04,HIS-TRN-TA-002,HIS-SOP-TA-002,4,scenario_single_choice,scenario_application,Scenario: Two recruiters contact the same candidate for the same client role and both claim ownership. What is the best response?,Treat the issue as resolved if a verbal confirmation was received.,Move forward quickly and document the exception only if a problem occurs.,Check Ceipal history and escalate to the lead/manager to resolve ownership based on documented valid engagement.,Ask the team to handle it informally because the situation is time-sensitive.,C,Check Ceipal history and escalate to the lead/manager to resolve ownership based on documented valid engagement.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-TA-002-Q05,HIS-TRN-TA-002,HIS-SOP-TA-002,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-002?,Assuming a sourced profile belongs to the recruiter even if no valid contact or ownership record exists.,Using private notes for candidate interest instead of updating the approved candidate record.,Skipping duplicate search because the candidate used a different phone number or resume version.,"Treating candidate ownership, duplicate checks, or consent/RTR as optional when outreach volume is high.",D,"Treating candidate ownership, duplicate checks, or consent/RTR as optional when outreach volume is high.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-TA-002-Q06,HIS-TRN-TA-002,HIS-SOP-TA-002,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-002?,Recruiter owns accurate candidate record; Lead resolves ownership disputes.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,A,Recruiter owns accurate candidate record; Lead resolves ownership disputes.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-TA-002-Q07,HIS-TRN-TA-002,HIS-SOP-TA-002,7,scenario_single_choice,scenario_application,Scenario: A candidate says “send me details” but has not confirmed interest or submission consent. What should happen next?,Keep the issue in a private note until the final outcome is known.,"Do not submit; send clear details, confirm interest and consent/RTR where required, then document it.",Continue using the old information because changing records mid-process creates extra work.,Let the person who discovered the issue decide without involving the required owner or workflow.,B,"Do not submit; send clear details, confirm interest and consent/RTR where required, then document it.","The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-TA-002-Q08,HIS-TRN-TA-002,HIS-SOP-TA-002,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-002 is working after rollout?,"The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",Duplicate records controlled and 100% consent/RTR captured where required.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",C,Duplicate records controlled and 100% consent/RTR captured where required.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-TA-003-Q01,HIS-TRN-TA-003,HIS-SOP-TA-003,1,single_choice,understanding,"For HIS-SOP-TA-003 (screening and submission QC), what is the primary business reason the SOP exists?","Raises submission quality by requiring qualification, screening notes, evidence, and manager/QC checks before client submission.",To increase submissions by sending candidates quickly and letting the client identify missing details.,To treat screening notes as optional if the resume already looks aligned.,"To allow submissions before pay, availability, and required documents are confirmed.",A,"Raises submission quality by requiring qualification, screening notes, evidence, and manager/QC checks before client submission.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-TA-003-Q02,HIS-TRN-TA-003,HIS-SOP-TA-003,2,single_choice,application,"Before submitting a candidate is treated as ready under HIS-SOP-TA-003, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Must-have match, interest, pay/rate, availability, resume, screening notes, documents, and QC approval must be verified before submission.",Use the most recent email or chat thread as the only working standard.,"Proceed if the candidate/client seems urgent, even if required records are not complete.",B,"Must-have match, interest, pay/rate, availability, resume, screening notes, documents, and QC approval must be verified before submission.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-TA-003-Q03,HIS-TRN-TA-003,HIS-SOP-TA-003,3,single_choice,application,Which record best proves HIS-SOP-TA-003 was followed for submitting a candidate?,A verbal update in the daily standup with no system entry.,A personal note or spreadsheet maintained by one team member only.,"Screening notes, submission checklist, QC result, missing document status, and submission timestamp.","A generic completion message that does not include evidence, owner, or next step.",C,"Screening notes, submission checklist, QC result, missing document status, and submission timestamp.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-TA-003-Q04,HIS-TRN-TA-003,HIS-SOP-TA-003,4,scenario_single_choice,scenario_application,Scenario: A candidate looks strong but has not confirmed shift availability and pay alignment. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,Hold submission until availability and pay alignment are confirmed and documented.,D,Hold submission until availability and pay alignment are confirmed and documented.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-TA-003-Q05,HIS-TRN-TA-003,HIS-SOP-TA-003,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-003?,"Submitting a candidate before screening notes, pay/location fit, required documents, and QC readiness are complete.","Believing a strong resume can replace documented screening, pay alignment, and candidate confirmation.",Counting a candidate as submission-ready while required credential or work authorization fields are unclear.,"Assuming manager QC is only needed for weak candidates, not all high-priority submissions.",A,"Submitting a candidate before screening notes, pay/location fit, required documents, and QC readiness are complete.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-TA-003-Q06,HIS-TRN-TA-003,HIS-SOP-TA-003,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-003?,No assigned owner is needed if the team discusses it in a meeting.,Recruiter prepares; Lead/Manager performs QC when required before client/VMS submission.,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",B,Recruiter prepares; Lead/Manager performs QC when required before client/VMS submission.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-TA-003-Q07,HIS-TRN-TA-003,HIS-SOP-TA-003,7,scenario_single_choice,scenario_application,Scenario: A recruiter has a qualified profile but no structured screening notes in Ceipal. What should happen next?,Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Add role-specific screening evidence before marking the candidate ready for submission.,Let the person who discovered the issue decide without involving the required owner or workflow.,C,Add role-specific screening evidence before marking the candidate ready for submission.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-TA-003-Q08,HIS-TRN-TA-003,HIS-SOP-TA-003,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-003 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",95%+ submission QC pass rate and reduced client rework.,D,95%+ submission QC pass rate and reduced client rework.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-TA-004-Q01,HIS-TRN-TA-004,HIS-SOP-TA-004,1,single_choice,understanding,"For HIS-SOP-TA-004 (interview-offer-start follow-through), what is the primary business reason the SOP exists?",To consider recruiter work complete once the candidate has been submitted to the client.,"Protects conversion after submission by ensuring interviews, offers, starts, and post-start check-ins are actively managed.","To let interview, offer, and start updates stay in chat threads until the weekly meeting.",To rely on the candidate to follow up if the interview time or start details change.,B,"Protects conversion after submission by ensuring interviews, offers, starts, and post-start check-ins are actively managed.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-TA-004-Q02,HIS-TRN-TA-004,HIS-SOP-TA-004,2,single_choice,application,"Before managing post-submission progress is treated as ready under HIS-SOP-TA-004, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",Use the most recent email or chat thread as the only working standard.,"Interview details, candidate prep, feedback, offer terms, start confirmation, and post-start check-ins must be actively tracked.","Proceed if the candidate/client seems urgent, even if required records are not complete.",C,"Interview details, candidate prep, feedback, offer terms, start confirmation, and post-start check-ins must be actively tracked.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-TA-004-Q03,HIS-TRN-TA-004,HIS-SOP-TA-004,3,single_choice,application,Which record best proves HIS-SOP-TA-004 was followed for managing post-submission progress?,A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,"Interview schedule, prep confirmation, feedback, offer terms, start date, no-show/dropout reason, and post-start check-in notes.",D,"Interview schedule, prep confirmation, feedback, offer terms, start date, no-show/dropout reason, and post-start check-in notes.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-TA-004-Q04,HIS-TRN-TA-004,HIS-SOP-TA-004,4,scenario_single_choice,scenario_application,Scenario: A client sends interview availability but the candidate has not confirmed the time. What is the best response?,"Confirm candidate availability, send clear prep details, update Ceipal, and close the loop with the client/AM.",Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,Move forward quickly and document the exception only if a problem occurs.,A,"Confirm candidate availability, send clear prep details, update Ceipal, and close the loop with the client/AM.","The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-TA-004-Q05,HIS-TRN-TA-004,HIS-SOP-TA-004,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-TA-004?,Assuming an interview scheduled by phone is complete even when it is not confirmed in the system.,"Treating the process as complete after submission instead of managing interview, offer, start, and post-start follow-through.","Treating offer acceptance as final without documenting pay agreement, start date, and pending conditions.",Ending candidate follow-up after offer acceptance instead of confirming start readiness and early retention.,B,"Treating the process as complete after submission instead of managing interview, offer, start, and post-start follow-through.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-TA-004-Q06,HIS-TRN-TA-004,HIS-SOP-TA-004,6,single_choice,application,Who should own or verify the key control for HIS-SOP-TA-004?,"Only the newest team member working the task, because they are closest to the work.",No assigned owner is needed if the team discusses it in a meeting.,Recruiter coordinates candidate; AM/Manager manages client feedback and escalation.,Any person can close it without review if the outcome looks positive.,C,Recruiter coordinates candidate; AM/Manager manages client feedback and escalation.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
